SRC,DST,DST_C,Class_major,class
1001,1021,0.000,0.500,0
1001,1047,1.000,0.500,0
1001,1051,0.000,0.500,0
1001,1085,1.000,0.500,0
1003,1025,0.000,0.000,0
1003,1099,0.000,0.000,0
1005,1011,0.000,0.200,0
1005,1113,1.000,0.200,0
1005,13061,0.000,0.200,0
1005,13239,0.000,0.200,0
1005,13259,0.000,0.200,0
1007,1007,0.000,0.250,0
1007,1021,0.000,0.250,0
1007,1065,0.000,0.250,0
1007,1105,1.000,0.250,0
1007,1125,1.000,0.250,0
1009,1009,0.000,0.000,0
1009,1055,0.000,0.000,0
1009,1095,0.000,0.000,0
1009,1115,0.000,0.000,0
1011,1011,0.000,0.500,0
1011,1087,1.000,0.500,0
1011,1113,1.000,0.500,0
1013,1013,0.000,0.100,0
1013,1035,0.000,0.100,0
1013,1039,0.000,0.100,0
1013,1041,0.000,0.100,0
1013,1085,1.000,0.100,0
1013,1099,0.000,0.100,0
1015,1019,0.000,0.000,0
1015,1029,0.000,0.000,0
1015,1055,0.000,0.000,0
1015,1115,0.000,0.000,0
1017,1081,1.000,0.400,0
1017,1111,0.000,0.400,0
1017,1123,0.000,0.400,0
1017,13145,1.000,0.400,0
1017,13285,0.000,0.400,0
1019,1019,0.000,0.000,0
1019,1029,0.000,0.000,0
1019,1055,0.000,0.000,0
1021,1021,0.000,0.333,0
1021,1047,1.000,0.333,0
1021,1051,0.000,0.333,0
1021,1105,1.000,0.333,0
1023,1025,0.000,0.333,0
1023,1091,0.000,0.333,0
1023,28153,1.000,0.333,0
1025,1025,0.000,0.000,0
1025,1091,0.000,0.000,0
1025,1099,0.000,0.000,0
1027,1029,0.000,0.000,0
1027,1111,0.000,0.000,0
1027,1123,0.000,0.000,0
1029,1029,0.000,0.000,0
1029,1111,0.000,0.000,0
1029,13143,0.000,0.000,0
1031,1039,0.000,0.000,0
1031,1041,0.000,0.000,0
1031,1061,0.000,0.000,0
1033,1033,0.000,0.000,0
1033,1077,0.000,0.000,0
1033,1079,0.000,0.000,0
1035,1035,0.000,0.000,0
1035,1039,0.000,0.000,0
1035,1099,0.000,0.000,0
1037,1051,0.000,0.000,0
1037,1123,0.000,0.000,0
1039,1039,0.000,0.167,0
1039,1041,0.000,0.167,0
1039,1061,0.000,0.167,0
1039,12091,1.000,0.167,0
1041,1041,0.000,0.500,0
1041,1085,1.000,0.500,0
1043,1079,0.000,0.000,0
1043,1095,0.000,0.000,0
1043,1133,0.000,0.000,0
1045,1061,0.000,0.000,0
1047,1047,1.000,0.833,1
1047,1085,1.000,0.833,1
1047,1091,0.000,0.833,1
1047,1105,1.000,0.833,1
1049,1055,0.000,0.000,0
