FIPS,County,DEM,GOP,MedianIncome,MigraRate,BirthRate,DeathRate,BachelorRate,UnemploymentRate
1001.000,2102,64577,52038,49799.000,0.200,13.000,9.800,29.900,5.350
1003.000,16315,151016,268550,43873.600,2.540,11.940,11.700,20.880,6.400
1005.000,4226,16581,32533,37501.250,-5.875,11.450,10.725,17.700,6.775
1007.000,2190,174508,203460,62160.500,1.900,12.300,8.600,37.250,5.000
1009.000,3243,159797,187556,43721.000,0.767,12.600,12.500,19.233,6.033
1011.000,2210,63708,41609,40141.500,-3.750,12.650,9.250,27.850,6.050
1013.000,1131,4329,1737,24216.000,-4.300,11.800,12.100,12.500,14.400
1015.000,2136,25305,53399,41166.500,-4.500,11.300,12.650,16.150,6.550
1017.000,1017,5763,7803,39530.000,-5.400,11.500,13.100,13.200,5.500
1019.000,40452,17284,63287,40894.250,2.000,12.575,11.625,13.775,6.125
1021.000,2154,24707,76222,55326.500,1.200,9.700,10.400,26.850,5.100
1023.000,59369,23680,34376,35168.600,-11.620,11.480,12.860,15.520,7.500
1025.000,2260,6695,7768,30895.500,-6.900,11.150,13.000,11.800,11.500
1027.000,3185,15122,29202,38502.667,-2.567,9.567,13.367,12.033,6.133
1029.000,27399,27393,61585,44541.000,4.133,12.333,10.967,15.700,6.233
1031.000,3185,13641,37304,41442.333,-2.067,12.567,9.533,21.333,6.067
1033.000,29200,3187,16583,37479.000,2.800,12.000,13.850,11.450,5.700
1035.000,1053,4698,10282,35096.000,-2.900,11.800,13.700,12.700,6.600
1037.000,3275,36815,96818,50402.667,-0.967,10.000,11.133,22.667,5.600
1039.000,13184,11559,35977,44891.000,15.350,12.000,11.450,20.550,5.450
1041.000,2210,63708,41609,40141.500,-3.750,12.650,9.250,27.850,6.050
1043.000,3273,19432,94334,42632.333,0.567,12.200,12.767,15.667,5.967
1045.000,4290,22280,57669,40007.750,-1.950,11.950,10.600,19.900,6.150
1047.000,1131,4329,1737,24216.000,-4.300,11.800,12.100,12.500,14.400
1049.000,15175,8957,44879,38626.667,-1.067,11.567,12.467,12.233,6.233
1051.000,1101,58669,33928,45111.000,-4.900,13.800,9.600,32.100,5.600
1053.000,25199,80210,163778,47589.333,6.933,12.000,10.867,22.400,5.333
1057.000,3259,6879,36732,38757.333,-1.133,11.233,14.767,12.333,6.567
1059.000,57257,4287,24968,38534.000,0.500,11.800,13.467,12.100,5.467
1061.000,37322,24643,77969,44016.000,9.175,11.450,11.475,18.275,5.175
1063.000,1119,4739,1581,26814.000,-18.000,11.100,10.900,21.800,7.700
1067.000,15235,14998,38742,37090.000,-5.367,11.933,12.233,18.200,6.367
1069.000,39484,20281,49693,35547.000,-7.925,11.475,12.950,16.100,6.400
1071.000,49275,68927,113522,48316.000,2.967,11.233,12.033,22.500,5.900
1073.000,3317,178994,227668,54610.667,0.233,12.333,10.767,28.700,5.800
1075.000,29170,6520,15926,38283.000,4.100,11.200,14.250,14.850,5.950
1077.000,75240,3811,19536,39639.500,7.150,11.900,13.950,11.250,5.600
1079.000,1103,11216,37392,46843.000,-3.200,12.000,11.400,21.700,5.500
1083.000,2192,73651,126591,54018.000,2.300,11.900,10.100,31.700,5.300
1085.000,2232,62998,35665,34663.500,-4.600,12.800,10.850,22.300,10.000
1087.000,1101,58669,33928,45111.000,-4.900,13.800,9.600,32.100,5.600
1089.000,2192,73651,126591,54018.000,2.300,11.900,10.100,31.700,5.300
1091.000,2250,9068,3318,25515.000,-11.150,11.450,11.500,17.150,11.050
1093.000,57279,11071,42700,39454.333,-1.233,11.700,13.533,14.067,6.233
1095.000,1103,11216,37392,46843.000,-3.200,12.000,11.400,21.700,5.500
1097.000,58326,84838,132631,43913.750,-2.325,11.175,11.100,15.850,7.275
1099.000,1131,4329,1737,24216.000,-4.300,11.800,12.100,12.500,14.400
1101.000,2210,63708,41609,40141.500,-3.750,12.650,9.250,27.850,6.050
1103.000,1103,11216,37392,46843.000,-3.200,12.000,11.400,21.700,5.500
