FIPS,County,DEM,GOP,MedianIncome,MigraRate,BirthRate,DeathRate,BachelorRate,UnemploymentRate
18019,"Clark County, IN",19783.0,27717.0,50500.5,2.5,12.95,10.35,20.299999999999997,6.0
6035,"Lassen County, CA",2535.0,6897.0,48636.5,-19.1,9.1,7.15,12.45,9.7
40081,"Lincoln County, OK",2844.0,10190.0,44531.5,-2.05,11.350000000000001,11.399999999999999,14.1,5.15
31153,"Sarpy County, NE",26206.5,42483.5,71246.0,8.6,15.05,4.95,38.35,3.4
28055,"Issaquena County, MS",437.0,300.0,27921.5,-5.300000000000001,9.2,6.25,7.25,15.8
28035,"Forrest County, MS",11675.0,15244.0,34459.5,0.0,13.600000000000001,9.6,27.200000000000003,7.35
55085,"Oneida County, WI",9271.0,11291.0,47779.5,2.85,8.75,12.7,25.75,6.8
19033,"Cerro Gordo County, IA",11522.0,10833.5,48465.5,-0.6000000000000001,10.8,12.05,22.35,4.6
26035,"Clare County, MI",5293.5,7747.5,34960.0,-3.8,10.5,13.6,11.3,9.55
31041,"Custer County, NE",850.5,4433.5,45312.0,-2.95,11.95,11.85,20.6,2.5999999999999996
38055,"McLean County, ND",1365.0,3478.5,56634.0,13.5,13.2,11.45,19.05,3.95
29065,"Dent County, MO",1281.5,5241.0,36067.5,-4.4,11.350000000000001,12.15,13.5,6.8
1071,"Jackson County, AL",4740.0,15532.5,40512.5,-0.19999999999999998,11.0,13.55,13.55,7.449999999999999
40129,"Roger Mills County, OK",211.5,1474.0,52036.0,-17.3,13.5,8.95,19.85,3.9499999999999997
17061,"Greene County, IL",1612.5,3792.5,42977.0,-13.55,10.399999999999999,12.7,12.600000000000001,7.1
1117,"Shelby County, AL",21435.5,72044.5,70728.0,7.9,11.65,6.5,41.150000000000006,4.65
31115,"Loup County, NE",55.0,306.5,43530.5,-3.3000000000000007,11.45,9.0,18.8,3.55
47177,"Warren County, TN",4141.5,8771.0,35629.0,0.6500000000000001,11.3,11.75,13.55,6.800000000000001
13051,"Chatham County, GA",59537.5,45366.0,47720.0,6.65,14.3,8.05,32.75,7.199999999999999
13175,"Laurens County, GA",7122.5,12174.0,36973.5,-5.3,14.1,11.5,15.05,9.45
12101,"Pasco County, FL",94073.0,127139.0,44510.5,20.05,10.1,11.8,22.25,7.05
38041,"Hettinger County, ND",240.5,1015.0,49168.5,-2.0999999999999996,12.399999999999999,13.85,15.2,2.85
51191,"Washington County, VA",6312.0,18725.0,43970.0,3.6,9.65,11.2,23.0,5.65
48377,"Presidio County, TX",1365.5,578.0,32801.5,-9.700000000000001,14.549999999999999,5.2,21.05,12.0
26115,"Monroe County, MI",31584.5,39424.0,56930.0,-3.65,10.05,9.2,18.8,6.0
51720,"Norton city, VA",474.5,958.0,31910.5,0.0,8.7,11.65,18.7,7.300000000000001
8031,"Denver County, CO",192185.0,56696.0,55746.5,13.15,14.1,6.449999999999999,45.8,5.5
17015,"Carroll County, IL",3047.5,3989.5,48853.0,-2.25,9.7,12.55,16.8,6.8999999999999995
22009,"Avoyelles Parish, LA",5553.5,10915.0,33789.5,-4.6,13.8,11.7,10.7,7.35
45011,"Barnwell County, SC",4788.5,4771.5,36922.5,-7.25,12.850000000000001,11.8,11.6,10.65
17105,"Livingston County, IL",4509.5,9971.0,54744.5,-10.1,11.0,11.7,15.85,6.550000000000001
